Время;"IP источника";"порт источника";"IP получателя";"порт получателя";пакетов;байт;протокол
"2013-07-05 13:37:16";93.158.134.203;0;10.99.1.12;0;9;540;icmp
"2013-07-05 13:37:17";10.99.1.12;51060;74.125.232.17;443;3;144;tcp
"2013-07-05 13:37:17";10.99.1.12;8;93.158.134.203;0;9;540;icmp
"2013-07-05 13:37:21";10.99.1.12;51056;74.125.143.95;443;3;132;tcp
"2013-07-05 13:37:21";74.125.143.95;443;10.99.1.12;51056;2;84;tcp
"2013-07-05 13:37:26";74.125.232.17;443;10.99.1.12;51060;3;124;tcp
"2013-07-05 13:37:26";173.194.47.247;443;10.99.1.12;51070;7;2541;tcp
"2013-07-05 13:37:27";10.99.1.12;51073;173.194.47.247;443;8;854;tcp
"2013-07-05 13:37:27";93.158.134.203;0;10.99.1.12;0;10;600;icmp
"2013-07-05 13:37:27";10.99.1.12;51077;173.194.47.247;443;8;854;tcp
"2013-07-05 13:37:27";10.99.1.12;51071;173.194.47.247;443;8;853;tcp
"2013-07-05 13:37:27";10.99.1.12;51070;173.194.47.247;443;8;854;tcp
"2013-07-05 13:37:27";10.99.1.12;8;93.158.134.203;0;10;600;icmp
"2013-07-05 13:37:31";74.125.232.16;443;10.99.1.12;51048;2;84;tcp
"2013-07-05 13:37:31";173.194.47.247;443;10.99.1.12;51072;27;6820;tcp
"2013-07-05 13:37:32";10.99.1.12;51048;74.125.232.16;443;3;132;tcp
"2013-07-05 13:37:32";74.125.232.64;443;10.99.1.12;51044;2;84;tcp
"2013-07-05 13:37:32";10.99.1.12;51044;74.125.232.64;443;3;132;tcp
"2013-07-05 13:37:32";10.99.1.12;51072;173.194.47.247;443;32;4801;tcp
"2013-07-05 13:37:32";74.125.143.95;443;10.99.1.12;51046;2;84;tcp
"2013-07-05 13:37:32";10.99.1.12;51046;74.125.143.95;443;3;132;tcp
"2013-07-05 13:37:36";10.99.1.12;51047;74.125.232.16;443;3;132;tcp
"2013-07-05 13:37:36";93.158.134.203;0;10.99.1.12;0;10;600;icmp
"2013-07-05 13:37:37";74.125.232.16;443;10.99.1.12;51047;2;84;tcp
"2013-07-05 13:37:37";10.99.1.12;8;93.158.134.203;0;10;600;icmp
"2013-07-05 13:37:41";217.29.55.3;80;10.99.1.12;51111;143;180170;tcp
"2013-07-05 13:37:41";217.29.55.39;80;10.99.1.12;51120;50;62756;tcp
"2013-07-05 13:37:42";74.125.232.239;443;10.99.1.12;51053;2;84;tcp
"2013-07-05 13:37:42";217.29.55.3;80;10.99.1.12;51109;172;219389;tcp
"2013-07-05 13:37:42";10.99.1.12;51120;217.29.55.39;80;29;2054;tcp
"2013-07-05 13:37:42";10.99.1.12;51053;74.125.232.239;443;3;132;tcp
"2013-07-05 13:37:42";10.99.1.12;51109;217.29.55.3;80;98;7885;tcp
"2013-07-05 13:37:42";217.29.55.39;80;10.99.1.12;51121;8;6363;tcp
"2013-07-05 13:37:42";10.99.1.12;51113;217.29.55.3;80;60;5656;tcp
"2013-07-05 13:37:42";10.99.1.12;51112;217.29.55.3;80;59;6049;tcp
"2013-07-05 13:37:42";10.99.1.12;51108;217.29.55.3;80;85;7160;tcp
"2013-07-05 13:37:42";10.99.1.12;51110;217.29.55.3;80;81;6925;tcp
"2013-07-05 13:37:42";10.99.1.12;51119;217.29.55.23;80;6;859;tcp
"2013-07-05 13:37:42";10.99.1.12;51111;217.29.55.3;80;83;7275;tcp
"2013-07-05 13:37:42";217.29.55.3;80;10.99.1.12;51113;97;114643;tcp
"2013-07-05 13:37:42";10.99.1.12;51121;217.29.55.39;80;6;567;tcp
"2013-07-05 13:37:42";217.29.55.3;80;10.99.1.12;51108;145;186671;tcp
"2013-07-05 13:37:42";217.29.55.3;80;10.99.1.12;51110;140;179639;tcp
"2013-07-05 13:37:42";217.29.55.3;80;10.99.1.12;51112;92;110217;tcp
"2013-07-05 13:37:42";217.29.55.23;80;10.99.1.12;51119;6;1020;tcp
"2013-07-05 13:37:46";10.99.1.12;51124;74.125.232.226;80;4;172;tcp
"2013-07-05 13:37:46";10.99.1.12;51126;74.125.232.224;80;4;172;tcp
"2013-07-05 13:37:47";10.99.1.12;51127;74.125.232.224;80;4;172;tcp
"2013-07-05 13:37:47";93.170.15.106;80;10.99.1.12;51122;2;84;tcp
"2013-07-05 13:37:47";208.76.170.27;80;10.99.1.12;51157;30;32262;tcp
"2013-07-05 13:37:47";10.99.1.12;51125;74.125.232.226;80;4;172;tcp
"2013-07-05 13:37:47";74.125.232.224;80;10.99.1.12;51126;2;84;tcp
"2013-07-05 13:37:47";10.99.1.12;51123;93.170.15.106;80;4;172;tcp
"2013-07-05 13:37:47";10.99.1.12;51157;208.76.170.27;80;20;2241;tcp
"2013-07-05 13:37:47";93.158.134.203;0;10.99.1.12;0;9;540;icmp
"2013-07-05 13:37:47";217.29.55.40;80;10.99.1.12;51115;15;8366;tcp
"2013-07-05 13:37:47";10.99.1.12;51129;217.29.55.10;80;4;172;tcp
"2013-07-05 13:37:47";217.29.55.10;80;10.99.1.12;51128;2;84;tcp
"2013-07-05 13:37:47";74.125.232.226;80;10.99.1.12;51124;2;84;tcp
"2013-07-05 13:37:47";10.99.1.12;51132;173.194.47.224;80;4;172;tcp
"2013-07-05 13:37:47";10.99.1.12;51115;217.29.55.40;80;15;2812;tcp
"2013-07-05 13:37:47";74.125.232.224;80;10.99.1.12;51127;2;84;tcp
"2013-07-05 13:37:47";10.99.1.12;51122;93.170.15.106;80;4;172;tcp
"2013-07-05 13:37:47";93.170.15.106;80;10.99.1.12;51123;2;84;tcp
"2013-07-05 13:37:47";74.125.232.226;80;10.99.1.12;51125;2;84;tcp
"2013-07-05 13:37:47";10.99.1.12;51128;217.29.55.10;80;4;172;tcp
"2013-07-05 13:37:47";173.194.47.224;80;10.99.1.12;51132;2;84;tcp
"2013-07-05 13:37:47";217.29.55.10;80;10.99.1.12;51129;2;84;tcp
"2013-07-05 13:37:47";10.99.1.12;8;93.158.134.203;0;9;540;icmp
"2013-07-05 13:37:51";217.29.55.3;80;10.99.1.12;51111;211;265337;tcp
"2013-07-05 13:37:51";217.29.55.3;80;10.99.1.12;51109;144;161821;tcp
"2013-07-05 13:37:52";10.99.1.12;51109;217.29.55.3;80;92;13090;tcp
"2013-07-05 13:37:52";10.99.1.12;51113;217.29.55.3;80;83;13494;tcp
"2013-07-05 13:37:52";10.99.1.12;51112;217.29.55.3;80;82;12665;tcp
"2013-07-05 13:37:52";10.99.1.12;51108;217.29.55.3;80;75;13168;tcp
"2013-07-05 13:37:52";10.99.1.12;51110;217.29.55.3;80;115;14227;tcp
"2013-07-05 13:37:52";10.99.1.12;51111;217.29.55.3;80;126;13674;tcp
"2013-07-05 13:37:52";217.29.55.3;80;10.99.1.12;51113;120;131370;tcp
"2013-07-05 13:37:52";217.29.55.3;80;10.99.1.12;51108;106;113836;tcp
"2013-07-05 13:37:52";217.29.55.3;80;10.99.1.12;51110;189;230542;tcp
"2013-07-05 13:37:52";217.29.55.3;80;10.99.1.12;51112;122;136258;tcp
"2013-07-05 13:37:52";10.99.1.12;51164;87.242.88.104;80;4;172;tcp
"2013-07-05 13:37:52";88.208.59.211;80;10.99.1.12;51154;3;124;tcp
"2013-07-05 13:37:52";10.99.1.12;51165;178.218.210.194;80;4;172;tcp
"2013-07-05 13:37:52";88.208.58.25;80;10.99.1.12;51156;3;124;tcp
"2013-07-05 13:37:52";217.29.55.52;80;10.99.1.12;51142;3;124;tcp
"2013-07-05 13:37:52";178.218.210.194;80;10.99.1.12;51151;3;124;tcp
"2013-07-05 13:37:52";10.99.1.12;51161;87.242.88.85;80;4;172;tcp
"2013-07-05 13:37:52";88.208.59.211;80;10.99.1.12;51153;3;124;tcp
"2013-07-05 13:37:52";10.99.1.12;51151;178.218.210.194;80;4;172;tcp
"2013-07-05 13:37:52";87.242.88.104;80;10.99.1.12;51164;2;84;tcp
"2013-07-05 13:37:52";178.218.216.108;80;10.99.1.12;51146;2;84;tcp
"2013-07-05 13:37:52";10.99.1.12;51166;178.218.210.194;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51148;77.109.110.134;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51155;88.208.58.25;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51152;178.218.210.194;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51177;178.218.214.66;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51146;178.218.216.108;80;4;172;tcp
"2013-07-05 13:37:52";178.218.210.194;80;10.99.1.12;51167;2;84;tcp
"2013-07-05 13:37:52";10.99.1.12;51168;178.218.214.38;80;4;172;tcp
"2013-07-05 13:37:52";87.242.88.94;80;10.99.1.12;51171;2;84;tcp
"2013-07-05 13:37:52";10.99.1.12;51145;178.218.216.108;80;4;172;tcp
"2013-07-05 13:37:52";87.242.88.85;80;10.99.1.12;51162;3;124;tcp
"2013-07-05 13:37:52";10.99.1.12;51153;88.208.59.211;80;4;172;tcp
"2013-07-05 13:37:52";178.218.210.194;80;10.99.1.12;51165;3;124;tcp
"2013-07-05 13:37:52";93.158.134.203;0;10.99.1.12;0;10;600;icmp
"2013-07-05 13:37:52";178.218.214.66;80;10.99.1.12;51177;2;84;tcp
"2013-07-05 13:37:52";10.99.1.12;51150;88.208.58.25;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51167;178.218.210.194;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51149;88.208.58.25;80;4;172;tcp
"2013-07-05 13:37:52";10.99.1.12;51162;87.242.88.85;80;4;172;tcp
"2013-07-05 13:37:56";178.218.216.108;80;10.99.1.12;51145;2;84;tcp
"2013-07-05 13:37:56";88.208.58.25;80;10.99.1.12;51150;2;84;tcp
"2013-07-05 13:37:57";10.99.1.12;51156;88.208.58.25;80;4;172;tcp
"2013-07-05 13:37:57";10.99.1.12;51142;217.29.55.52;80;4;172;tcp
"2013-07-05 13:37:57";88.208.58.25;80;10.99.1.12;51155;3;124;tcp
"2013-07-05 13:37:57";88.208.58.25;80;10.99.1.12;51149;3;124;tcp
"2013-07-05 13:37:57";88.212.196.123;80;10.99.1.12;51144;3;124;tcp
"2013-07-05 13:37:57";10.99.1.12;51171;87.242.88.94;80;4;172;tcp
"2013-07-05 13:37:57";77.109.110.134;80;10.99.1.12;51147;3;124;tcp
"2013-07-05 13:37:57";10.99.1.12;51169;178.218.214.38;80;4;172;tcp
"2013-07-05 13:37:57";10.99.1.12;51154;88.208.59.211;80;4;172;tcp
"2013-07-05 13:37:57";178.218.210.194;80;10.99.1.12;51152;3;124;tcp
"2013-07-05 13:37:57";10.99.1.12;51147;77.109.110.134;80;4;172;tcp
"2013-07-05 13:37:57";178.218.214.38;80;10.99.1.12;51169;2;84;tcp
