Время;результат;"тип контента";адрес;"исходящих байт";"входящих байт"
"2013-07-05 13:37:18";"Нет содержимого";image/gif;http://csi.gstatic.com/csi?;433;370
"2013-07-05 13:37:29";OK;text/html;http://fishki.net/;45012;490
"2013-07-05 13:37:30";OK;text/css;http://ru.fishki.net/skin/new-main.css?;8867;501
"2013-07-05 13:37:30";OK;application/x-javascript;http://ru.fishki.net/jslib/comments.js?;5722;486
"2013-07-05 13:37:30";OK;application/x-javascript;http://ru.fishki.net/vk.js?;5375;474
"2013-07-05 13:37:30";OK;text/css;http://ru.fishki.net/skin/new-base.css?;61798;501
"2013-07-05 13:37:30";OK;application/x-javascript;http://ru.fishki.net/jslib/main.js?;38148;482
"2013-07-05 13:37:30";OK;application/x-javascript;http://www.nnn.ru/show.cgi?;741;382
"2013-07-05 13:37:30";OK;application/x-javascript;http://www.nnn.ru/show.cgi?;740;382
"2013-07-05 13:37:30";OK;text/css;http://stg.odnoklassniki.ru/share/odkl_share.css;4611;434
"2013-07-05 13:37:30";OK;application/x-javascript;http://stg.odnoklassniki.ru/share/odkl_share.js;12770;418
"2013-07-05 13:37:30";OK;application/x-javascript;http://counter.rambler.ru/top100.jcn?;7383;400
"2013-07-05 13:37:31";OK;application/x-javascript;http://rb.ondu.ru/static/counter.js;563;375
"2013-07-05 13:37:31";"Не изменено";-;http://b.adinch.com/static/sdk/sdk.js;273;377
"2013-07-05 13:37:32";"Не изменено";-;http://www.google-analytics.com/ga.js;275;377
"2013-07-05 13:37:32";OK;text/html;http://fishki.net/informer_fb.html;1118;541
"2013-07-05 13:37:32";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/dem/tn.jpg;58449;499
"2013-07-05 13:37:32";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/moshennik/tn.jpg;42420;505
"2013-07-05 13:37:32";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/top1.jpg;12876;496
"2013-07-05 13:37:32";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/kitayanka/tn.jpg;33723;505
"2013-07-05 13:37:32";OK;text/javascript;http://engine.adspynet.com/code?;1267;550
"2013-07-05 13:37:32";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/pepper/tn.jpg;55933;502
"2013-07-05 13:37:32";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/post/brus/tn.jpg;87397;500
"2013-07-05 13:37:33";OK;image/gif;"http://counter.yadro.ru/hit;fishki?";384;569
"2013-07-05 13:37:33";OK;text/html;http://sharp.ondu.ru/cgi-bin/cn.cgi;469;385
"2013-07-05 13:37:33";"Moved Permanently";text/html;http://fishki.net/jslib/jquery-1.7.2.min.js;553;558
"2013-07-05 13:37:33";OK;text/plain;http://www.msftncsi.com/ncsi.txt;295;97
"2013-07-05 13:37:33";OK;image/gif;http://www.google-analytics.com/__utm.gif?;516;887
"2013-07-05 13:37:33";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/massazh.jpg;22993;499
"2013-07-05 13:37:33";OK;image/jpeg;http://ru.fishki.net/picsw/072013/04/deo/toget1.jpg;9726;550
"2013-07-05 13:37:33";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/top2.jpg;25382;496
"2013-07-05 13:37:33";OK;text/html;http://fishki.net/informer_markedgid_bottom.html;776;607
"2013-07-05 13:37:33";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/znews1.jpg;10076;550
"2013-07-05 13:37:33";OK;image/jpeg;http://ru.fishki.net/picsw/072013/04/deo/toget2.jpg;10670;550
"2013-07-05 13:37:33";OK;text/javascript;http://engine.adspynet.com/code?;3331;516
"2013-07-05 13:37:33";OK;text/javascript;http://engine.adspynet.com/code?;1874;550
"2013-07-05 13:37:33";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/bonus/fasad.jpg;13536;551
"2013-07-05 13:37:34";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/smile1.jpg;13221;550
"2013-07-05 13:37:34";OK;image/jpeg;http://ru.fishki.net/picsw/072013/04/deo/toget3.jpg;12335;550
"2013-07-05 13:37:34";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/znews2.jpg;12688;550
"2013-07-05 13:37:34";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/uto/alko.jpg;49348;548
"2013-07-05 13:37:34";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/bonus/transformery.jpg;17118;558
"2013-07-05 13:37:34";OK;image/jpeg;http://ru.fishki.net/picsw/072013/05/bonus/skulptura.jpg;9211;555
